Model,Status,Certified since version,Year
Fujitsu Lifebook T726,Certified,103,2027
Fujitsu Stylistic Q738,Certified,114,2028
GeoBook 1e,Certified,115,2028
Giada D613,Certified,117,2032
Giada DM6,Certified,114,2029
Giada F106D,Certified,125,2029
Giada OPS PC612,Certified,117,2030
Giada VM27,Certified,114,2029
HP 20-r013 AIO,Certified,103,2027
HP 215 G1,Certified,103,2027
HP 255 G7 (AMD),Certified,103,2030
HP 255 G7 (Intel),Certified,103,2028
HP 280 G9,Certified,126,2030
HP 3115m,Certified,103,2024
HP 3125 Notebook,Certified,105,2024
HP 630,Decertified,103,2023
HP Compaq 6005 Pro,Decertified,103,2023
HP Compaq 6200 Pro,Certified,103,2024
HP Compaq 6300 Pro,Certified,103,2025
HP Compaq 8200 Elite,Certified,103,2024
HP Compaq Elite 8100,Decertified,103,2023
HP Compaq Elite 8300,Certified,103,2025
HP Compaq Pro 6305,Certified,103,2025
HP Elite t655 Thin Client,Certified,119,2030
