Model,Status,Certified since version,Year
Intel NUC NUC6i3SYH,Certified,103,2027
Intel NUC NUC7i3BNH,Certified,103,2028
Intel NUC NUC8i5BEH,Certified,103,2028
Intel NUC NUC8i7BEH,Certified,103,2028
Intel NUC11TNKv5,Certified,116,2030
Intel NUC12WSHi3,Certified,117,2030
Justice Tech Securebook 5.0,Certified,107,2028
Justice Tech Securebook 6.0,Certified,110,2029
LG 14ZT980 Mobile Thin Client,Certified,103,2028
LG 24CN650N,Certified,113,2028
LG 24CN670NK6N,Certified,108,2028
LG 27KC3PJ,Certified,105,2029
LG 34CN650N,Certified,113,2028
LG 55CT5WJ,Certified,106,2029
LG CL600N-6N,Certified,111,2028
LG CQ600I-6N Thin Client,Certified,130,2029
LG CQ601W,Certified,122,2029
LG Gram 15Z995,Certified,103,2028
LG Gram 15ZT90P,Certified,113,2030
LG Gram 16UT70Q,Certified,114,2030
LG OPS-C001,Certified,113,2030
Lenovo 100e 2nd Gen (Intel),Certified,103,2028
Lenovo 14w Gen 1,Certified,103,2029
Lenovo 300e 1st Gen,Certified,103,2028
Lenovo 300e 2nd Gen (Intel),Certified,103,2028
Lenovo B590,Certified,103,2025
Lenovo E40-80,Certified,107,2027
Lenovo IdeaPad S145,Certified,103,2028
Lenovo Ideapad D330-10IGL,Certified,112,2028
Lenovo K14 Gen 1,Certified,123,2030
Lenovo Miix 520,Certified,130,2028
Lenovo N22,Certified,103,2027
Lenovo N23 (Windows),Certified,103,2027
Lenovo N24,Certified,103,2028
Lenovo T490s,Certified,118,2028
Lenovo ThinkBook 14 G2,Certified,110,2030
Lenovo ThinkCentre E73,Certified,103,2026
Lenovo ThinkCentre M53,Certified,103,2026
Lenovo ThinkCentre M600,Certified,103,2027
Lenovo ThinkCentre M625q,Certified,103,2028
Lenovo ThinkCentre M700,Certified,103,2027
Lenovo ThinkCentre M70q,Certified,103,2028
Lenovo ThinkCentre M70q Gen 2,Certified,105,2030
Lenovo ThinkCentre M70q Gen 3,Certified,105,2030
Lenovo ThinkCentre M70q Gen 4,Certified,120,2030
Lenovo ThinkCentre M70q Gen 5,Certified,130,2030
Lenovo ThinkCentre M710q,Certified,103,2027
Lenovo ThinkCentre M715q Gen 2,Certified,127,2029
Lenovo ThinkCentre M71e,Certified,103,2024
Lenovo ThinkCentre M720q,Certified,103,2028
Lenovo ThinkCentre M72e,Certified,103,2025
Lenovo ThinkCentre M72z AIO,Certified,103,2025
Lenovo ThinkCentre M73,Certified,103,2026
Lenovo ThinkCentre M73z,Certified,103,2026
Lenovo ThinkCentre M75n,Certified,103,2030
Lenovo ThinkCentre M75q Gen 2,Certified,122,2030
Lenovo ThinkCentre M77,Decertified,103,2023
Lenovo ThinkCentre M78,Certified,103,2025
Lenovo ThinkCentre M800,Certified,103,2027
Lenovo ThinkCentre M80q Gen 2,Certified,115,2028
Lenovo ThinkCentre M80q Gen 3,Certified,116,2030
Lenovo ThinkCentre M81,Certified,103,2024
Lenovo ThinkCentre M810z,Certified,103,2027
Lenovo ThinkCentre M82,Certified,103,2025
Lenovo ThinkCentre M83,Certified,103,2026
Lenovo ThinkCentre M900,Certified,103,2027
Lenovo ThinkCentre M90n IoT,Certified,103,2028
Lenovo ThinkCentre M90n Nano,Certified,113,2028
Lenovo ThinkCentre M91p,Certified,103,2024
Lenovo ThinkCentre M920q,Certified,103,2028
Lenovo ThinkCentre M92p,Certified,103,2025
Lenovo ThinkCentre M93p,Certified,103,2026
Lenovo ThinkPad 11e G1,Certified,103,2026
Lenovo ThinkPad 11e G2,Certified,103,2027
Lenovo ThinkPad 11e G3,Certified,103,2027
Lenovo ThinkPad 11e G4,Certified,103,2028
Lenovo ThinkPad 11e G5,Certified,103,2028
